date,3x3 Basketball,Acrobatic Gymnastics,Alpine Skiing,Archery,Artistic Gymnastics,Artistic Swimming,Athletics,Badminton,Baseball Softball,Basketball,Beach Handball,Beach Volleyball,Biathlon,BMX Freestyle,BMX Racing,Bobsleigh,Boxing,Breaking,Cross-Country,Curling,Diving,Equestrian,Fencing,Figure Skating,Football,Freestyle Skiing,Futsal,Golf,Handball,Hockey,Ice Hockey,Judo,Karate,Luge,Marathon Swimming,Modern Pentathlon,Mountain Bike,Nordic Combined,Rhythmic Gymnastics,Road Cycling,Roller Speed Skating,Rowing,Rugby,Sailing,Shooting,Short Track Speed Skating,Skateboarding,Skeleton,Ski Jumping,Ski Mountaineering,Snowboard,Speed Skating,Sport Climbing,Surfing,Swimming,Table Tennis,Taekwondo,Tennis,Track Cycling,Trampoline,Triathlon,Volleyball,Water Polo,Weightlifting,Wrestling
2021-07-25 22:00:00,12,16,0,30,12,24,6,19,1,45,12,6,59,1,1,32,21,77,5,66,9,27,33,39,49,0,58,29,5,7,44,51,29,21,39,95,27,12,17,72,0,6,12,25,38,0,35,61,0,0,17,0,24,31,47,16,7,34,15,18,100,7,23,25,45
2021-07-25 23:00:00,20,14,0,32,15,25,6,24,1,50,14,9,38,1,0,46,24,82,3,73,9,25,31,74,46,0,63,20,33,7,45,44,35,13,34,57,22,0,14,48,0,6,15,18,35,0,72,76,68,0,34,23,26,21,43,19,5,32,11,17,81,10,42,27,53
2021-07-26 00:00:00,12,0,0,37,14,13,6,25,7,51,8,13,9,1,0,0,21,95,0,90,8,16,35,27,47,0,100,16,18,7,42,49,31,11,21,21,19,0,17,19,0,4,45,11,38,0,94,93,0,0,15,0,16,15,38,22,7,30,8,14,17,12,69,27,58
2021-07-26 01:00:00,23,0,0,56,16,32,5,28,56,55,14,9,0,1,0,34,24,90,0,57,7,9,37,30,46,0,71,14,11,9,17,54,28,19,0,0,12,0,27,16,0,3,18,12,31,0,96,77,0,0,13,0,26,12,58,22,6,30,13,8,9,13,24,28,61
2021-07-26 02:00:00,20,0,0,47,17,30,5,30,6,51,19,11,0,0,0,0,23,97,13,49,11,10,34,21,44,0,0,14,8,14,41,81,17,27,0,32,21,0,10,34,0,3,17,15,34,0,77,39,0,0,27,0,18,14,100,23,5,50,9,11,11,11,33,24,72
2021-07-26 03:00:00,23,0,0,36,16,34,3,44,1,47,11,14,0,1,0,0,27,83,0,61,9,8,45,23,52,0,37,17,6,18,19,65,23,0,0,18,16,0,11,44,0,4,12,20,37,0,90,41,0,0,30,27,20,17,63,22,8,48,0,11,12,12,37,21,52
2021-07-26 04:00:00,12,0,0,40,20,84,4,27,1,35,8,15,0,1,1,0,21,92,0,52,9,20,51,0,62,0,53,23,5,22,26,49,17,0,39,0,22,0,8,36,0,3,15,22,25,0,100,39,0,0,14,0,29,13,44,18,14,44,5,8,20,13,27,17,51
2021-07-26 05:00:00,23,0,0,29,11,17,5,38,0,40,29,12,7,1,0,18,21,81,10,46,12,35,48,15,56,0,49,28,9,13,40,54,22,40,0,12,28,0,4,35,0,6,16,31,23,0,50,37,0,0,0,9,27,20,54,26,11,45,7,15,32,11,30,20,38
2021-07-26 06:00:00,17,11,0,34,16,20,4,20,0,40,26,13,4,1,1,9,17,71,41,53,100,33,61,16,50,0,38,32,8,9,25,55,18,5,9,22,77,0,13,35,0,7,17,28,19,0,60,22,0,0,9,9,35,20,66,21,9,47,8,20,27,11,31,17,39
2021-07-26 07:00:00,19,0,0,42,27,26,7,19,1,34,23,10,5,1,1,23,16,61,100,45,75,42,71,32,44,0,51,32,8,11,31,74,26,13,23,29,100,0,17,54,0,6,20,31,23,0,58,29,0,0,12,6,41,21,66,25,60,45,24,21,21,10,33,19,26
2021-07-26 08:00:00,19,27,16,55,30,42,7,20,1,31,12,10,5,0,1,4,18,52,25,58,48,37,70,27,39,0,67,34,7,11,24,61,22,17,13,33,57,0,11,43,0,6,19,30,22,0,57,33,0,0,12,7,62,20,69,19,20,43,17,24,12,9,32,19,22
2021-07-26 09:00:00,23,10,0,33,26,33,6,28,1,33,41,12,9,1,1,29,18,48,10,58,28,34,76,34,40,0,68,35,10,15,31,72,29,25,17,25,36,0,18,36,0,5,27,27,21,0,39,34,0,0,12,4,42,17,72,26,30,42,15,26,8,10,37,20,23
2021-07-26 10:00:00,22,19,0,27,34,25,7,24,1,33,47,12,8,1,1,8,17,47,17,51,21,31,83,40,38,0,60,34,12,28,35,51,18,18,20,20,29,0,42,30,0,5,17,26,22,0,33,45,24,0,12,10,35,16,65,16,9,36,11,27,6,12,43,20,22
2021-07-26 11:00:00,15,24,14,29,34,37,6,35,0,32,73,16,11,1,1,16,20,50,7,55,21,34,77,47,42,0,43,35,16,19,35,39,18,4,16,21,29,0,31,36,0,6,15,28,21,0,35,41,0,0,17,8,49,16,61,19,11,37,12,26,6,12,40,23,20
2021-07-26 12:00:00,17,9,0,29,41,37,7,30,1,36,74,16,10,1,1,27,18,50,11,66,21,38,100,28,43,0,37,34,15,11,38,63,37,25,12,33,31,0,24,40,0,5,15,25,22,0,34,48,0,0,14,4,42,15,59,32,100,37,11,27,6,14,31,25,26
2021-07-26 13:00:00,22,4,13,31,41,30,6,23,1,35,57,17,18,1,1,14,25,49,8,65,19,34,76,65,40,0,64,32,14,9,33,48,26,20,7,22,27,0,41,31,0,5,14,25,22,0,29,41,42,0,11,5,34,14,59,76,28,45,13,24,5,17,27,27,23
2021-07-26 14:00:00,14,8,23,81,19,20,6,48,1,29,76,15,21,1,1,59,19,51,3,58,17,33,71,24,41,0,41,32,13,8,41,37,22,28,28,41,26,0,20,30,0,5,14,25,22,0,28,40,18,0,17,3,26,13,57,69,11,45,11,25,22,18,24,23,25
2021-07-26 15:00:00,40,8,0,31,17,28,6,32,0,56,59,13,6,1,1,20,16,54,5,58,18,30,63,34,42,0,72,34,12,8,39,35,25,21,17,30,28,0,14,29,0,5,24,35,23,0,74,45,0,0,21,10,46,14,56,27,9,38,9,23,5,16,30,20,28
2021-07-26 16:00:00,23,5,14,29,16,17,5,22,1,34,65,16,23,1,1,11,23,60,6,69,21,29,61,29,45,0,78,35,12,63,74,31,29,100,19,23,31,100,17,24,0,5,17,25,25,0,30,44,45,0,17,4,28,15,58,45,9,49,10,24,5,14,33,22,27
2021-07-26 17:00:00,12,18,0,29,15,21,6,20,1,30,51,13,14,1,0,33,19,54,12,64,25,31,55,36,47,0,68,35,11,15,44,37,26,20,15,34,41,21,17,29,0,5,15,25,25,0,34,46,0,0,8,5,41,15,61,23,9,36,11,26,6,11,32,30,29
2021-07-26 18:00:00,14,9,26,31,16,25,6,24,1,27,55,14,9,1,1,54,20,59,7,75,37,30,49,36,48,0,52,34,11,9,35,40,28,22,11,33,40,0,28,27,0,5,14,25,27,0,34,51,0,0,17,5,40,16,59,21,7,35,10,27,6,11,33,27,27
2021-07-26 19:00:00,12,13,27,36,18,17,8,25,1,29,57,14,17,1,1,41,22,63,8,70,32,38,83,48,50,0,66,34,12,11,46,56,42,26,26,54,54,7,26,39,0,6,15,26,35,0,35,58,22,0,18,7,33,19,61,30,31,36,18,29,18,13,26,34,30
2021-07-26 20:00:00,14,5,14,32,16,27,7,22,1,31,57,16,30,1,2,76,20,67,8,83,22,36,50,36,51,0,50,35,12,12,43,46,31,29,34,64,42,14,21,37,0,6,15,29,36,0,71,55,68,0,23,2,37,20,56,24,10,37,13,25,31,12,34,33,31
2021-07-26 21:00:00,14,5,15,35,19,28,7,30,1,34,67,17,40,1,1,43,23,70,8,91,27,39,47,48,51,0,62,33,18,11,51,75,31,19,26,74,46,0,24,35,0,8,36,30,35,0,54,53,25,0,29,9,47,23,59,38,9,42,19,25,33,14,39,29,38
2021-07-26 22:00:00,15,0,24,29,18,34,6,40,1,35,74,20,72,1,0,71,25,76,4,77,19,30,40,42,49,0,49,26,18,9,45,46,29,36,26,100,37,12,29,63,0,7,13,23,32,0,29,61,38,0,21,3,54,35,47,34,7,41,18,22,87,16,43,30,46
2021-07-26 23:00:00,16,14,0,27,16,18,6,27,0,36,80,19,29,0,0,35,22,72,6,69,14,21,32,45,43,0,32,20,14,7,59,45,29,38,35,54,25,0,30,47,0,6,13,18,35,0,24,76,0,0,13,17,43,37,39,29,6,36,12,19,82,12,33,40,60
2021-07-27 00:00:00,19,0,0,31,21,32,6,29,1,42,83,76,17,0,2,0,24,77,6,56,14,16,33,72,49,0,72,16,21,9,78,49,29,0,0,70,30,0,21,27,0,8,46,17,37,0,25,94,0,0,8,0,8,37,37,30,9,36,14,16,28,36,51,29,89
2021-07-27 01:00:00,19,0,0,22,17,21,6,31,2,47,55,36,0,1,0,35,27,88,0,93,10,16,23,45,45,0,95,14,23,10,18,54,30,58,0,23,24,0,14,16,0,4,20,17,39,0,23,94,0,0,19,0,39,23,53,32,14,33,15,13,12,100,62,32,88
